Fields,BoundingBox,X,Y,id,left,top,right,bottom
73,"[-93.1733235100064,44.9939179115699;-93.1732485100064,44.9939249115699]","[-93.1733235100064,-93.1732485100064,-93.1732485100064,-93.1733235100064,-93.1733235100064,NaN]","[44.9939249115699,44.9939249115699,44.9939179115699,44.9939179115699,44.9939249115699,NaN]",74,-93.17332304,44.99393082,44.99393082,44.99392382
74,"[-93.1733236814003,44.9939110723834;-93.1732486814003,44.9939180723834]","[-93.1733236814003,-93.1732486814003,-93.1732486814003,-93.1733236814003,-93.1733236814003,NaN]","[44.9939180723834,44.9939180723834,44.9939110723834,44.9939110723834,44.9939180723834,NaN]",75,-93.17332304,44.99392382,44.99392382,44.99391682
75,"[-93.1733169113322,44.9939040290082;-93.1732419113322,44.9939110290081]","[-93.1733169113322,-93.1732419113322,-93.1732419113322,-93.1733169113322,-93.1733169113322,NaN]","[44.9939110290081,44.9939110290081,44.9939040290082,44.9939040290082,44.9939110290081,NaN]",76,-93.17332304,44.99391682,44.99391682,44.99390982
76,"[-93.1733147330588,44.9938971268104;-93.1732397330588,44.9939041268104]","[-93.1733147330588,-93.1732397330588,-93.1732397330588,-93.1733147330588,-93.1733147330588,NaN]","[44.9939041268104,44.9939041268104,44.9938971268104,44.9938971268104,44.9939041268104,NaN]",77,-93.17332304,44.99390982,44.99390982,44.99390282
77,"[-93.1733254810398,44.9938900290078;-93.1732504810398,44.9938970290078]","[-93.1733254810398,-93.1732504810398,-93.1732504810398,-93.1733254810398,-93.1733254810398,NaN]","[44.9938970290078,44.9938970290078,44.9938900290078,44.9938900290078,44.9938970290078,NaN]",78,-93.17332304,44.99390282,44.99390282,44.99389582
78,"[-93.1733255980101,44.9938830214776;-93.1732505980101,44.9938900214776]","[-93.1733255980101,-93.1732505980101,-93.1732505980101,-93.1733255980101,-93.1733255980101,NaN]","[44.9938900214776,44.9938900214776,44.9938830214776,44.9938830214776,44.9938900214776,NaN]",79,-93.17332304,44.99389582,44.99389582,44.99388882
79,"[-93.1733149402966,44.9938758621893;-93.1732399402966,44.9938828621892]","[-93.1733149402966,-93.1732399402966,-93.1732399402966,-93.1733149402966,-93.1733149402966,NaN]","[44.9938828621892,44.9938828621892,44.9938758621893,44.9938758621893,44.9938828621892,NaN]",80,-93.17332304,44.99388882,44.99388882,44.99388182
80,"[-93.1733163216221,44.9938689715324;-93.1732413216221,44.9938759715324]","[-93.1733163216221,-93.1732413216221,-93.1732413216221,-93.1733163216221,-93.1733163216221,NaN]","[44.9938759715324,44.9938759715324,44.9938689715324,44.9938689715324,44.9938759715324,NaN]",81,-93.17332304,44.99388182,44.99388182,44.99387482
81,"[-93.1733262538387,44.9938615239775;-93.1732512538387,44.9938685239775]","[-93.1733262538387,-93.1732512538387,-93.1732512538387,-93.1733262538387,-93.1733262538387,NaN]","[44.9938685239775,44.9938685239775,44.9938615239775,44.9938615239775,44.9938685239775,NaN]",82,-93.17332304,44.99387482,44.99387482,44.99386782
82,"[-93.1733241098882,44.9938546005232;-93.1732491098882,44.9938616005232]","[-93.1733241098882,-93.1732491098882,-93.1732491098882,-93.1733241098882,-93.1733241098882,NaN]","[44.9938616005232,44.9938616005232,44.9938546005232,44.9938546005232,44.9938616005232,NaN]",83,-93.17332304,44.99386782,44.99386782,44.99386082
83,"[-93.1733155228874,44.9938477522822;-93.1732405228874,44.9938547522822]","[-93.1733155228874,-93.1732405228874,-93.1732405228874,-93.1733155228874,-93.1733155228874,NaN]","[44.9938547522822,44.9938547522822,44.9938477522822,44.9938477522822,44.9938547522822,NaN]",84,-93.17332304,44.99386082,44.99386082,44.99385382
84,"[-93.1733152875682,44.9938408137678;-93.1732402875682,44.9938478137678]","[-93.1733152875682,-93.1732402875682,-93.1732402875682,-93.1733152875682,-93.1733152875682,NaN]","[44.9938478137678,44.9938478137678,44.9938408137678,44.9938408137678,44.9938478137678,NaN]",85,-93.17332304,44.99385382,44.99385382,44.99384682
85,"[-93.1733249478941,44.9938338525699;-93.1732499478941,44.9938408525699]","[-93.1733249478941,-93.1732499478941,-93.1732499478941,-93.1733249478941,-93.1733249478941,NaN]","[44.9938408525699,44.9938408525699,44.9938338525699,44.9938338525699,44.9938408525699,NaN]",86,-93.17332304,44.99384682,44.99384682,44.99383982
